name,NE_name,r,x,b,length,Comment,geometry,bus0,bus1,EIC_Code,TSO,CORE-TSO_bus0,CORE-TSO_bus1,v_nom,Maximum Current Imax (A) Period 1,Maximum Current Imax (A) Period 2,Maximum Current Imax (A) Period 3,Maximum Current Imax (A) Period 4,Maximum Current Imax (A) Period 5,Maximum Current Imax (A) Period 6,Maximum Current Imax (A) Fixed,Dynamic line rating (DLR) DLRmin(A),Dynamic line rating (DLR) DLRmax(A),s_nom,tie_line
10,Neuenhagen - Vierraden 304,7.9376,29.701,0.0003759858087816265,100.756,,"LINESTRING (13.710163845494778 52.539128262482336, 14.268638974985045 53.09783446837573)",137197826T,170123812T,11TD8L304------V,50HERTZ,Neuenhagen,Vierraden,220,1070.0,,,,,,,,,235.4,False
11,Bertikow - Pasewalk 305,2.2852,8.7795,0.00010998715880217867,29.471,,"LINESTRING (13.95682653407757 53.25237502729315, 14.033670663639295 53.50757745170813)",30039908,943444232,11TD8L305------N,50HERTZ,Bertikow,Pasewalk,220,900.0,,,,,,,,,198.0,False
12,Vierraden - Pasewalk 306,4.9243,18.121,0.00023090706003884982,61.885,,"LINESTRING (14.268638974985045 53.09783446837573, 14.033670663639295 53.50757745170813)",170123812T,943444232,11TD8L306------F,50HERTZ,Vierraden,Pasewalk,220,1070.0,,,,,,,,,235.4,False
13,Lubmin - Lüdershagen 313,2.821,16.33,0.0002143822826809675,56.212,,"LINESTRING (13.685367373727471 54.13880850286776, 13.079236593770936 54.2847578986085)",460134233T,946710698,11TD8L313------U,50HERTZ,Lubmin,Lüdershagen,220,1200.0,,,,,,,,,264.0,False
14,Lubmin - Lüdershagen 314,2.821,16.33,0.0002143822826809675,56.212,,"LINESTRING (13.685367373727471 54.13880850286776, 13.079236593770936 54.2847578986085)",460134233T,946710698,11TD8L314------M,50HERTZ,Lubmin,Lüdershagen,220,1200.0,,,,,,,,,264.0,False
15,Pasewalk - Güstrow 315,12.1223,44.3118,0.0005723981814840604,151.143,,"LINESTRING (14.033670663639295 53.50757745170813, 12.187783572738446 53.81650473574688)",943444232,32062544T,11TD8L315------E,50HERTZ,Pasewalk,Güstrow,220,900.0,,,,,,,,,198.0,False
16,Pasewalk - Güstrow 316,12.1223,44.3118,0.0005723981814840604,151.143,,"LINESTRING (14.033670663639295 53.50757745170813, 12.187783572738446 53.81650473574688)",943444232,32062544T,11TD8L316------6,50HERTZ,Pasewalk,Güstrow,220,900.0,,,,,,,,,198.0,False
17,Lüdershagen - Güstrow 317-276,6.59,31.384,0.00040444863822315,106.538,,"LINESTRING (13.079236593770936 54.2847578986085, 12.187783572738446 53.81650473574688)",946710698,32062544T,11TD8L317-276--N,50HERTZ,Lüdershagen,Güstrow,220,1200.0,,,,,,,,,264.0,False
18,Lüdershagen - Bentwisch 318,4.69,19.401,0.0002473375896171244,65.349,,"LINESTRING (13.079236593770936 54.2847578986085, 12.213541114842796 54.111982000414535)",946710698,32318130T,11TD8L318------R,50HERTZ,Lüdershagen,Bentwisch,220,1200.0,,,,,,,,,264.0,False
19,Parchim/Süd - Güstrow 328,15.5033,57.559,0.0001962238771432185,52.317,,"LINESTRING (11.89982925573428 53.40736193472257, 12.187783572738446 53.81650473574688)",517421342,32062544T,11TD8L328------I,50HERTZ,Parchim/Süd,Güstrow,220,900.0,,,,,,,,,198.0,False
20,Parchim/Süd - Wolmirstedt 332-322,9.62549,40.6047,0.0005821371187101887,141.507,,"LINESTRING (11.89982925573428 53.40736193472257, 11.639147591424328 52.26896991806889)",517421342,26472665T,11TD8L332-322--6,50HERTZ,Parchim/Süd,Wolmirstedt,220,900.0,,,,,,,,,198.0,False
21,Eula - Wolkramshausen 357,12.208,46.854,0.0006000441968356505,159.147,,"LINESTRING (12.517063548402785 51.156251437142096, 10.73466945062908 51.44018679097668)",32843531T,157164284,11TD8L357-----0Y,50HERTZ,Eula,Wolkramshausen,220,1070.0,,,,,,,,,235.4,False
22,Eula - Wolkramshausen 358,12.208,46.854,0.0006000441968356505,159.147,,"LINESTRING (12.517063548402785 51.156251437142096, 10.73466945062908 51.44018679097668)",32843531T,157164284,11TD8L358------S,50HERTZ,Eula,Wolkramshausen,220,1070.0,,,,,,,,,235.4,False
23,Vieselbach - Wolkramshausen 367,2.5437,19.586,0.00024567254551072183,65.756,,"LINESTRING (11.123246229477049 50.99837544912323, 10.73466945062908 51.44018679097668)",143882655T,157164284,11TD8L367------R,50HERTZ,Vieselbach,Wolkramshausen,220,1600.0,,,,,,,,,352.0,False
