name,x,y,CORE-TSO_country,CORE-TSO_tso,OSM_type,OSM_name,OSM_country,OSM_voltage,OSM_operator,OSM_alt_name,Comments,CORE-TSO-name,geometry,transformer_dupplicate,v_nom
180468540,13.679812286068168,46.54319159528688,AT,APG,Polygon,Umspannwerk Greuth,AT,220000,Eneco S.r.l.,,,Greuth,POINT (13.679812286068168 46.54319159528688),False,220.0
93077882,13.899759088463831,48.10437543439577,AT,APG,Polygon,Umspannwerk Hausruck,AT,220000,Verbund Austrian Power Grid AG,,,Hausruck,POINT (13.899759088463831 48.10437543439577),False,220.0
95837658,14.695177155277756,48.16420697715911,AT,APG,Polygon,Umspannwerk Wallsee,AT,220000;110000,Austrian Power Grid AG,,,Wallsee,POINT (14.695177155277756 48.16420697715911),False,220.0
152245073,14.163206843507028,47.8213913863045,AT,APG,Polygon,Umspannwerk Klaus,AT,220000,Austrian Power Grid AG,,,Klaus,POINT (14.163206843507028 47.8213913863045),False,220.0
81684898,16.276301468018094,47.25075082813871,AT,APG,Polygon,Umspannwerk Südburgenland/Rotenturm,AT,380000;110000,Austrian Power Grid AG,,,Suedburgenland,POINT (16.276301468018094 47.25075082813871),False,400.0
105065132,13.066843061018709,47.8880497091321,AT,APG,Polygon,Umspannwerk Salzburg,AT,220000,Austrian Power Grid AG,,,Salzburg Elixhausen,POINT (13.066843061018709 47.8880497091321),False,400.0
107248400,16.695964727999243,48.0319429668924,AT,APG,Polygon,Umspannwerk Sarasdorf,AT,380000;110000,,,,Sarasdorf,POINT (16.695964727999243 48.0319429668924),False,400.0
156973414,11.897843807702728,47.23344726452986,AT,APG,Polygon,Umspannwerk Zell am Ziller,AT,380000;220000;110000,Austrian Power Grid AG,,,"Zell am Ziller, TR Zell am Ziller ZZRHU41, TR Zell am Ziller ZZRHU42",POINT (11.897843807702728 47.23344726452986),False,400.0
603139216,13.828017533318611,46.553786380771086,AT,APG,Polygon,Villach Süd,AT,220000;110000,Austrian Power Grid AG;KNG-Kärnten Netz GmbH,,,Villach Süd,POINT (13.828017533318611 46.553786380771086),False,220.0
24253250,16.378280117631984,48.35775529503493,AT,APG,Polygon,Umspannwerk Bisamberg,AT,380000;220000;110000,Austrian Power Grid AG,,,Bisamberg,POINT (16.378280117631984 48.35775529503493),False,400.0
59531071,15.885238377926218,48.32893727438369,AT,APG,Polygon,Umspannwerk Dürnrohr,AT,380000;220000;110000,Austrian Power Grid;Netz Niederösterreich,,Duplicated OSM name: 59531071 122592181 ,"Duernrohr, Durnrohr, TR Duernrohr DURHU41, TR Duernrohr DURHU42",POINT (15.885238377926218 48.32893727438369),False,400.0
694695942,15.491168449670225,46.91008698214196,AT,APG,Polygon,Umspannwerk Mellach,AT,380000,Austrian Power Grid AG,,,Dreibein Mellach,POINT (15.491168449670225 46.91008698214196),False,400.0
89451551,14.207802708297566,47.57454944225967,AT,APG,Polygon,Umspannwerk Weißenbach,AT,220000;110000,Verbund;Austrian Power Grid AG,,,Weissenbach,POINT (14.207802708297566 47.57454944225967),False,220.0
89985993,14.33047960354146,47.67845501526672,AT,APG,Polygon,Umspannwerk Pyhrn,AT,220000,Verbund Austrian Power Grid AG,,,Phyrn,POINT (14.33047960354146 47.67845501526672),False,220.0
96616299,16.800003975379468,48.60583472856317,AT,APG,Polygon,Umspannwerk Neusiedl an der Zaya,AT,380000;220000;110000,Netz NÖ;APG,Zaya,Matched using the alt_name.,"Zaya, TR Zaya ZYRHU41",POINT (16.800003975379468 48.60583472856317),False,400.0
50729129,13.710737003499268,48.51930895732804,AT,APG,Polygon,Umspannwerk Jochenstein,AT,220000,,,,Jochenstein,POINT (13.710737003499268 48.51930895732804),False,220.0
16584741,4.508677556016,51.117666166209474,BE,ELIA,Polygon,Lint,BE,380000;150000,Elia,,,LINT,POINT (4.508677556016 51.117666166209474),False,400.0
87761208,4.332407428448886,50.48248685805815,BE,ELIA,Polygon,Gouy,BE,380000;150000;70000,Elia,,,GOUY,POINT (4.332407428448886 50.48248685805815),False,400.0
121085954,5.514226583194245,49.55130883534017,BE,ELIA,Polygon,Saint-Mard,BE,220000,Elia,,,"ST-MARD SNCB, ST-MARD",POINT (5.514226583194245 49.55130883534017),False,220.0
