,x,y,CORE-TSO_country,CORE-TSO_tso,OSM_id,OSM_type,OSM_name,OSM_country,OSM_voltage,OSM_operator,OSM_alt_name,Comments
Hesseln,8.319013268377649,52.06589206110439,DE,Amprion GmbH,39229429.0,Polygon,Station Hesseln,DE,380000;220000;110000,RWE,,
Homburg,7.319285805890511,49.30481782437112,DE,Amprion GmbH,156402422.0,Polygon,Homburg,DE,220000;110000,Amprion,,
Urberach (NEU),8.772275034667391,49.97457434094864,DE,Amprion GmbH,23284340.0,Polygon,Umspannwerk Urberach,DE,380000;220000;110000,Amprion,,
Setzer Wiese,8.020290393908665,50.92361692995779,DE,Amprion GmbH,90148336.0,Polygon,Setzer Wiese,DE,220000,RWE,,
Niederstedem,6.475062982714621,49.92260878546526,DE,Amprion GmbH,151967290.0,Polygon,Station Niederstedem,DE,380000;220000;110000,Amprion; Westnetz,,
Eiserfeld,7.985069668433352,50.842223410977,DE,Amprion GmbH,89043564.0,Polygon,Station Eiserfeld,DE,220000;110000,Amprion,,
Y-Ossenberg,6.650634,51.5535511,DE,Amprion GmbH,265904339.0,Point,,DE,220000,,,Y-junction at 5.49 km from the station
Frankfurt,8.618496094204207,50.09231245692548,DE,Amprion GmbH,62061952.0,Polygon,Umspannwerk Frankfurt Südwest,DE,380000,,,"Manually corrected. Name is misleading. Identified with Frankfurt SüdWest, according to the TSO map."
Liessem,7.136855967198084,50.64292098089298,DE,Amprion GmbH,26777313.0,Polygon,Station Ließem,DE,380000;110000,Amprion,,
Utfort,6.6171994130110185,51.47583728111108,DE,Amprion GmbH,23380800.0,Polygon,Station Utfort,DE,380000;220000;110000,Amprion,,
Osburg,6.813684274912262,49.72483416686445,DE,Amprion GmbH,42097854.0,Polygon,Station Osburg,DE,380000;110000,Amprion; Westnetz,,
Wehrendorf,8.307757038447654,52.34563570305741,DE,Amprion GmbH,33411203.0,Polygon,Wehrendorf,DE,380000;220000;110000,Amprion,,
Kriftel,8.471763441204756,50.09732020188074,DE,Amprion GmbH,38661452.0,Polygon,Umspannwerk Kriftel,DE,380000;110000,Amprion,,
Meitingen,10.867567075348669,48.53945547524874,DE,Amprion GmbH,24652261.0,Polygon,Station Meitingen,DE,380000,Net,,Multiple matches
Hattingen,7.167956726297322,51.38931989154416,DE,Amprion GmbH,63114179.0,Polygon,Station Hattingen,DE,380000;220000;110000,Amprion,,
Y-St Huelfe,8.402017,52.4966781,DE,Amprion GmbH,8422115751.0,Point,,DE,380000,,,Y-junction at 15.65 km from the station
Brauweiler,6.804550264468823,50.96624767849503,DE,Amprion GmbH,23084554.0,Polygon,Umspannanlage Brauweiler,DE,380000;220000;110000,RWE,,
Wengerrohr,6.920161421361796,49.970586187212106,DE,Amprion GmbH,66764943.0,Polygon,Station Wengerohr,DE,220000;110000,Amprion; Westnetz,,
Eller,6.846996879399097,51.20556806132725,DE,Amprion GmbH,23140544.0,Polygon,Station Eller,DE,220000;110000,Amprion,,
Woringen,10.213752787155716,47.93873495737692,DE,Amprion GmbH,683227471.0,Polygon,UW Woringen,DE,380000,LEW-Verteilnetz und Amprion,,
Siegburg,7.192410168463061,50.798900165609815,DE,Amprion GmbH,22767509.0,Polygon,Station Siegburg,DE,380000;220000;110000,RWE,,
Y-Welper,7.179217,51.4218287,DE,Amprion GmbH,820464202.0,Point,,DE,220000,,,Y-junction at 1.68 km from the station
Ossenberg,6.577290606676952,51.55639121872485,DE,Amprion GmbH,24462228.0,Polygon,Station Ossenberg,DE,220000;110000,Amprion,,
Y-Dauersberg,8.0152862,50.6395032,DE,Amprion GmbH,1138993277.0,Point,,DE,380000,,,Y-junction at 18.74 km from the station
Rommerskirchen,6.702194784514007,51.008859862237074,DE,Amprion GmbH,24839976.0,Polygon,Umspannwerk Rommerskirchen,DE,380000;220000,Amprion,,
Voslapp,8.085650634424244,53.60583422106788,DE,TENNETGMBH,26455019.0,Polygon,Voslapp,DE,220000;110000,TenneT;EON_Netz,,
Niederlangen,7.194564904714257,52.869841065668666,DE,TENNETGMBH,797009308.0,Polygon,Niederlangen,DE,380000;110000,TenneT TSO GmbH,,
Fedderwarden,8.063696600882086,53.55580201127509,DE,TENNETGMBH,637595524.0,Polygon,Fedderwarden,DE,380000;220000,TenneT,,
Huntorf,8.408969723192374,53.19024535445397,DE,TENNETGMBH,42872354.0,Polygon,Huntorf,DE,220000,TenneT TSO GmbH,,
Sottrum,9.25043491144298,53.1149993151395,DE,TENNETGMBH,955268863.0,Polygon,Umspannwerk Sottrum,DE,220000,TenneT TSO GmbH,,Multiple matches
Frankfurt/SW,8.618496094204207,50.09231245692548,DE,TENNETGMBH,62061952.0,Polygon,Umspannwerk Frankfurt Südwest,DE,380000,,,
Y-Emden/O,7.2390307,53.3556206,DE,TENNETGMBH,6925335021.0,Point,,DE,220000,,,Y-junction at 0.39 km from the station
Siems,10.76083532726635,53.90974536547812,DE,TENNETGMBH,1102237380.0,Polygon,Umspannwerk Siems,DE,380000;220000,TenneT TSO GmbH,,
Altheim,12.22083540005791,48.58573299903581,DE,TENNETGMBH,77694901.0,Polygon,Umspannwerk Altheim,DE,220000;110000,"TenneT TSO GmbH, E.ON Netz GmbH",,
Oberbrunn,11.2938428938921,48.051872033638176,DE,TENNETGMBH,24237879.0,Polygon,Umspannwerk Oberbrunn,DE,220000;110000,"TenneT TSO GmbH, Bayernwerk Netz GmbH",,
Bergshausen,9.513830681321153,51.258979370280514,DE,TENNETGMBH,156960655.0,Polygon,Umspannwerk Bergshausen,DE,380000,TenneT,,
Lehrte,9.918175987686066,52.38000537591698,DE,TENNETGMBH,33042984.0,Polygon,Umspannwerk und Betriebszentrum Lehrte,DE,220000;110000,TenneT TSO GmbH;Avacon Netz GmbH,,
Landesbergen,9.125265746125375,52.53826407510022,DE,TENNETGMBH,27739871.0,Polygon,Landesbergen,DE,380000;220000,TenneT TSO GmbH,,
Alfstedt,9.06881379841264,53.56663513616608,DE,TENNETGMBH,31927411.0,Polygon,Alfstedt,DE,380000;110000,TenneT;Avacon Netz GmbH,,
Grosskrotzenburg,8.958708591309529,50.08260779176962,DE,TENNETGMBH,42410916.0,Polygon,Großkrotzenburg,DE,380000;220000,TenneT TSO GmbH,,
Plattling,12.851784078347352,48.763285409713006,DE,TENNETGMBH,78441561.0,Polygon,Umspannwerk Plattling,DE,380000;110000,TenneT TSO GmbH,,
Kruen,11.277721046613744,47.49587291652226,DE,TENNETGMBH,68532663.0,Polygon,Umspannwerk Krün,DE,220000;110000,E.ON Netz GmbH,,
Farge,8.515550625607004,53.20389080721112,DE,TENNETGMBH,266684854.0,Polygon,Farge,DE,380000,TenneT TSO GmbH,,Duplicated OSM name: 266684854 266684854 
Ludersheim,11.327144234189378,49.3940090686663,DE,TENNETGMBH,954971276.0,Polygon,Umspannwerk Ludersheim,DE,220000,TenneT TSO GmbH;E.ON Netz GmbH,,
Lueneburg,10.37889424775349,53.21941896987637,DE,TENNETGMBH,28327356.0,Polygon,Umspannwerk Lüneburg,DE,380000,TenneT;Avacon Netz GmbH,,
Elsen,8.702218487068027,51.73635260092439,DE,TENNETGMBH,25943440.0,Polygon,Elsen,DE,380000;110000,TenneT,,
Marienberg,12.130190652304838,47.91316548724683,DE,TENNETGMBH,75865676.0,Polygon,Marienberg,DE,220000,"Tennet TSO GmbH, E.ON Netz GmbH",,
Doernigheim,8.873006663494621,50.13085458638221,DE,TENNETGMBH,23881272.0,Polygon,Dörnigheim 220 kV,DE,220000;110000,TenneT TSO GmbH,,
Borken,9.259408693957017,51.06062416529207,DE,TENNETGMBH,156673636.0,Polygon,Borken,DE,380000;110000,TenneT TSO GmbH,,
Wilster/W,9.345190861244996,53.9235068766929,DE,TENNETGMBH,525964629.0,Polygon,Umspannwerk Wilster,DE,380000,TenneT TSO GmbH,,
Waldeck,9.050683427885025,51.16749335484502,DE,TENNETGMBH,41072584.0,Polygon,Waldeck,DE,380000,TenneT TSO GmbH,,
Erzhausen,9.92376861110601,51.89757160295235,DE,TENNETGMBH,699048438.0,Polygon,Erzhausen,DE,220000,,,
Stade/W,9.48980527344708,53.63250357565713,DE,TENNETGMBH,881636329.0,Polygon,Umspannwerk Stade-West,DE,380000,,,
Audorf,9.72696095954251,54.29094830541829,DE,TENNETGMBH,1119527154.0,Polygon,Audorf,DE,220000,TenneT;Schleswig-Holstein Netz AG,,
Y-Huntorf,8.4060232,53.2347758,DE,TENNETGMBH,536779518.0,Point,,DE,220000,,,Y-junction at 5.52 km from the station
Sittling,11.792413892026982,48.83822405035946,DE,TENNETGMBH,24759324.0,Polygon,Umspannwerk Sittling,DE,220000;110000,TenneT TSO GmbH;E.ON Netz GmbH,,
Grafenrheinfeld,10.187883452706124,49.98122647392129,DE,TENNETGMBH,108797675.0,Polygon,Grafenrheinfeld,DE,380000,,,
Heide/W,9.051183241890577,54.16218742579385,DE,TENNETGMBH,603661085.0,Polygon,Umspannwerk Heide-West,DE,380000;110000,TenneT TSO GmbH,,
Brunsbuettel,9.20168360386404,53.89581463975601,DE,TENNETGMBH,30622610.0,Polygon,Umspannwerk Kernkraftwerk Brunsbüttel,DE,380000;220000;110000,50Hertz Transmission,,Multiple matches
Hardegsen,9.852928400878271,51.64927355446412,DE,TENNETGMBH,952004951.0,Polygon,Hardegsen,DE,380000;220000,TenneT TSO GmbH,,
Hoepfingen,9.446918747930264,49.590262953146016,DE,TENNETGMBH,145002769.0,Polygon,Umspannwerk Höpfingen,DE,380000;110000,EnBW,,
Conneforde,8.052012197053129,53.33307136740962,DE,TENNETGMBH,1128250707.0,Polygon,Conneforde 380/220 kV,DE,380000;220000,TenneT,,
Diele,7.311363464926869,53.1257663066567,DE,TENNETGMBH,177829920.0,Polygon,Diele,DE,380000;150000;110000,TenneT;Avacon Netz GmbH,,
Eltmann,10.664447302672285,49.98003850242098,DE,TENNETGMBH,24758329.0,Polygon,Eltmann,DE,380000;110000,Bayernwerk,,
Jardelund,9.197439471019052,54.85118880925978,DE,TENNETGMBH,301158539.0,Polygon,Jardelund,DE,380000,TenneT,,
Dipperz,9.77415058063893,50.52874938114609,DE,TENNETGMBH,148446247.0,Polygon,Dipperz,DE,380000;110000,Tennet,,
Algermissen,9.917180765726249,52.27818419861031,DE,TENNETGMBH,23899043.0,Polygon,Algermissen,DE,380000;110000,TenneT;Avacon Netz GmbH,,
Rhede,7.254656899999971,53.02667164999976,DE,TENNETGMBH,32042992.0,Polygon,Rhede,DE,380000,TenneT TSO GmbH,,
Hamburg/N,9.984058791561033,53.74147911235296,DE,TENNETGMBH,22720647.0,Polygon,Hamburg Nord,DE,380000;220000,50Hertz Transmission,,Duplicated OSM name: 22720647 28008024 
Pirach,12.747462532231182,48.14874534394161,DE,TENNETGMBH,91080806.0,Polygon,Umspannwerk Pirach,DE,220000;110000,"TenneT TSO GmbH, E.ON Netz GmbH",,
Brokdorf,9.344001814589792,53.851777496821136,DE,TENNETGMBH,87722999.0,Polygon,Brokdorf,DE,380000;220000,TenneT,,
Buettel,9.2349352665197,53.91684530373683,DE,TENNETGMBH,136034396.0,Polygon,Umspannwerk Büttel,DE,380000;320000;250000,,,
Meissen,8.959009455774234,52.27852956146905,DE,TENNETGMBH,23135618.0,Polygon,Umspannwerk Meißen,DE,220000;110000,EON_WestfalenWeser,,
Y-Rhede,7.254656899999971,53.02667164999976,DE,TENNETGMBH,32042992.0,Polygon,Rhede,DE,380000,TenneT TSO GmbH,,
Bergrheinfeld/W,10.150933820209042,49.98205429302692,DE,TENNETGMBH,499165542.0,Polygon,Umspannwerk Bergrheinfeld/West,DE,380000,Tennet,,
Husum/N,9.079249259611553,54.5101787045432,DE,TENNETGMBH,1071504343.0,Polygon,UW Husum Nord,DE,380000,TenneT TSO GmbH;Schleswig-Holstein Netz AG,,
Mehrum,10.087649794874034,52.31512566651793,DE,TENNETGMBH,274621059.0,Polygon,Umspannwerk Mehrum,DE,220000;110000,TenneT,,
Veltheim,8.932880076577133,52.19344813112035,DE,TENNETGMBH,28397771.0,Polygon,Veltheim,DE,220000,Westfalen Weser Netz GmbH,,
Hannover/W,9.522576021806724,52.36040907576746,DE,TENNETGMBH,23682013.0,Polygon,Hannover/West,DE,220000;110000,TenneT;Avacon Netz GmbH,,
Kriegenbrunn,10.972903959305093,49.55850742412348,DE,TENNETGMBH,28613721.0,Polygon,Umspannwerk Kriegenbrunn,DE,380000;110000;20000,Tennet TSO GmbH/ Bayernwerk Netz GmbH,,
Y-Waldeck,9.0957296,51.1638941,DE,TENNETGMBH,503851756.0,Point,,DE,380000,,,Y-junction at 3.36 km from the station
Conneforde/O,8.053944669219414,53.331754625072335,DE,TENNETGMBH,1128250704.0,Polygon,Conneforde/Ost,DE,380000,TenneT,,
Neufinsing,11.813232962395237,48.22126648321302,DE,TENNETGMBH,24158385.0,Polygon,Umspannwerk Neufinsing,DE,220000;110000,"TenneT TSO GmbH, E.ON Netz GmbH",,
Handewitt,9.31564493817348,54.728360441715225,DE,TENNETGMBH,449010725.0,Polygon,Umspannwerk Handewitt,DE,380000,TenneT TSO GmbH,,
Eickum,8.571446947612355,52.10524367214451,DE,TENNETGMBH,24230738.0,Polygon,Eickum,DE,380000;110000,TenneT TSO GmbH,Eickum,
Helmstedt,10.99933307080216,52.20014201460474,DE,TENNETGMBH,26474759.0,Polygon,Umspannwerk Helmstedt,DE,380000,TenneT TSO GmbH,,
Y-Hallendorf,10.355215,52.175811,DE,TENNETGMBH,301426399.0,Point,,DE,220000,,,Y-junction at 1.39 km from the station
Ovenstaedt,8.939692565631844,52.40303328797495,DE,TENNETGMBH,24604789.0,Polygon,Schaltanlage Ovenstädt,DE,380000,TenneT TSO GmbH,,Duplicated OSM name: 24604789 24604789 
Frankfurt/N,8.735135821191065,50.15919158006077,DE,TENNETGMBH,4826893.0,Polygon,Umspannwerk Frankfurt Nord,DE,220000;110000,TenneT TSO GmbH;Mainova,,
Elsfleth/W,8.402908531465696,53.236846001980624,DE,TENNETGMBH,829116805.0,Polygon,Schaltanlage Elsfleth/West,DE,380000,TenneT TSO,,
Lage,8.814007725393207,51.9834383258978,DE,TENNETGMBH,288305056.0,Polygon,Lage,DE,220000;110000,,,
Klein Ilsede,10.235863189815383,52.29345957007352,DE,TENNETGMBH,24272339.0,Polygon,Klein Ilsede,DE,380000;110000,TenneT TSO GmbH;Avacon Netz GmbH,,
Aschaffenburg,9.089693390602628,49.96849688108822,DE,TENNETGMBH,55069713.0,Polygon,Umspannwerk Aschaffenburg,DE,380000;110000,TenneT TSO GmbH;Avacon Netz GmbH,,
Giessen/N,8.65664623029241,50.605749022409626,DE,TENNETGMBH,202747445.0,Polygon,Umspannwerk Gießen Nord,DE,380000;110000,,,
Kummerfeld,9.775990807719898,53.69066940510269,DE,TENNETGMBH,25306938.0,Polygon,Kummerfeld,DE,380000,TenneT TSO,,
Luebeck,10.640922161624864,53.91945015570877,DE,TENNETGMBH,130794504.0,Polygon,Umspannwerk Lübeck,DE,220000,TenneT TSO,,
Grohnde,9.390175306207354,52.02668689098189,DE,TENNETGMBH,24413992.0,Polygon,Grohnde,DE,380000,TenneT,,
Unterweser,8.4747070839544,53.42865120708027,DE,TENNETGMBH,32076853.0,Polygon,Unterweser,DE,380000;220000;110000,Avacon Netz GmbH,,Multiple matches
Y-Doernigheim,8.873006663494621,50.13085458638221,DE,TENNETGMBH,23881272.0,Polygon,Dörnigheim 220 kV,DE,220000;110000,TenneT TSO GmbH,,
Wuergassen,9.387640755119822,51.64073490727586,DE,TENNETGMBH,274630377.0,Polygon,Würgassen,DE,380000;220000;110000,Tennet TSO,Umspannwertk Würgassen,
Doerpen/W,7.256613692332295,52.98098768069109,DE,TENNETGMBH,142487746.0,Polygon,Dörpen West,DE,380000;320000,TenneT Offshore GmbH,,
Emden/Borssum,7.224238437060019,53.34992715714697,DE,TENNETGMBH,34835258.0,Polygon,Emden-Borssum,DE,220000;110000,TenneT;EON_Netz,,
Y-Kruen,11.2869439,47.4928625,DE,TENNETGMBH,578350239.0,Point,,DE,220000,,,Y-junction at 0.74 km from the station
Godenau,9.797336150166096,52.00083922200652,DE,TENNETGMBH,30109913.0,Polygon,Godenau,DE,220000;110000,TenneT;Avacon Netz GmbH,,
Stalldorf,9.944479692842796,49.57833787043636,DE,TENNETGMBH,31653753.0,Polygon,Umspannwerk Stalldorf,DE,380000;110000,TransnetBW GmbH,,
Y-Simbach,12.9981969,48.295336,DE,TENNETGMBH,1057547856.0,Point,,DE,220000,,,Y-junction at 3.96 km from the station
Karben,8.80994891769688,50.20356666534427,DE,TENNETGMBH,24042358.0,Polygon,Umspannwerk Karben,DE,380000;110000,TenneT,,
Y-Plattling,12.8535354,48.7624378,DE,TENNETGMBH,920516997.0,Point,,DE,380000,,,Y-junction at 0.12 km from the station
Gleidingen,10.419540694264242,52.23696069492369,DE,TENNETGMBH,30017786.0,Polygon,Gleidingen 220 kV,DE,220000,TenneT,,
Braunschweig/N,10.505499193025576,52.30183792010763,DE,TENNETGMBH,24272541.0,Polygon,Umspannwerk Braunschweig Nord,DE,220000,EON_Netz,,
Schwandorf,12.082217467816522,49.29749516466073,DE,TENNETGMBH,28956649.0,Polygon,Schwandorf,DE,380000;220000;110000,"TenneT TSO GmbH, E.ON Netz GmbH",,
Maade,8.122640291179902,53.56051735010921,DE,TENNETGMBH,23744346.0,Polygon,Umspannwerk Maade,DE,380000;220000,TenneT,,
Ingolstadt,11.507780016006691,48.76113865812943,DE,TENNETGMBH,24768051.0,Polygon,Ingolstadt,DE,380000;220000;110000,,,
Suederdonn,9.109710528954771,53.97219445662391,DE,TENNETGMBH,289836713.0,Polygon,Umspannwerk Süderdonn,DE,380000;110000,TenneT TSO,,
Dollern,9.501790032393483,53.54281468092611,DE,TENNETGMBH,24502420.0,Polygon,Dollern,DE,380000;220000;110000,TenneT;Avacon Netz GmbH,,
Niedervieland,8.695160795744329,53.09253612448377,DE,TENNETGMBH,44717036.0,Polygon,Niedervieland,DE,380000;110000,Wesernetz Bremen GmbH,,Duplicated OSM name: 44717036 44717036 
Emden/O,7.244747402876565,53.357115737869314,DE,TENNETGMBH,559702819.0,Polygon,Konverter Station Emden Ost,DE,380000,TenneT TSO GmbH,,
Mechlenreuth,11.81084931092042,50.183709021310136,DE,TENNETGMBH,93341407.0,Polygon,Umspannwerk Mechlenreuth,DE,380000,TenneT TSO,,
Oberhaid,10.836015793654516,49.92806742632911,DE,TENNETGMBH,24757833.0,Polygon,Umspannwerk Oberhaid,DE,380000,TenneT TSO GmbH,,
Cloppenburg,8.082130119034625,52.858428299535376,DE,TENNETGMBH,50643382.0,Polygon,Cloppenburg 220 kV,DE,220000,TenneT,,
Hamburg/S,9.908850396108354,53.48804857010373,DE,TENNETGMBH,11285720.0,Polygon,Hamburg/Süd,DE,380000;110000,50Hertz Transmission;Stromnetz Hamburg GmbH,,
Hattorf,10.761248371477716,52.36745365155272,DE,TENNETGMBH,24258096.0,Polygon,Umspannwerk Hattorf,DE,380000,EON_Netz,,
Sandershausen/O,9.58527841535778,51.33137523872775,DE,TENNETGMBH,456386244.0,Polygon,Sandershausen/Ost,DE,380000;110000,,,Duplicated OSM name: 456386244 456386244 
Y-Alfstedt,9.06881379841264,53.56663513616608,DE,TENNETGMBH,31927411.0,Polygon,Alfstedt,DE,380000;110000,TenneT;Avacon Netz GmbH,,
Y-Wechold,9.14508445171833,52.85279753984998,DE,TENNETGMBH,28812249.0,Polygon,Wechold,DE,220000,TenneT TSO GmbH;Avacon Netz GmbH,,
Goettingen,9.882236528721034,51.51543259723481,DE,TENNETGMBH,802246764.0,Polygon,Göttingen,DE,220000,TenneT TSO GmbH,,
Raitersaich,10.84310559580793,49.37870895490465,DE,TENNETGMBH,24705761.0,Polygon,Umspannwerk Raitersaich,DE,380000;220000;110000,TenneT TSO GmbH;E.ON Netz GmbH,,
Etzenricht,12.114380926785518,49.6311058498399,DE,TENNETGMBH,29084374.0,Polygon,Umspannwerk Etzenricht,DE,380000,TenneT TSO,,Duplicated OSM name: 29084374 1089568373 
Itzehoe/W,9.448953542404087,53.96763393799254,DE,TENNETGMBH,60032354.0,Polygon,Itzehoe/West,DE,220000,TenneT,,
Silz,10.966258459203711,47.2695305048675,DE,TENNETGMBH,95812231.0,Polygon,Umspannwerk Silz,AT,220000;110000,TIWAG-Netz AG,,"Manually corrected. In AT, but also in DE"
Kuehtai,11.005710999999996,47.20772839999996,DE,TENNETGMBH,758728343.0,Polygon,Kühtai,AT,220000,TenneT TSO GmbH,,"Manually corrected. In AT, but also in DE"
Wechold,9.14508445171833,52.85279753984998,DE,TENNETGMBH,28812249.0,Polygon,Wechold,DE,220000,TenneT TSO GmbH;Avacon Netz GmbH,,
Zolling,11.807606343131418,48.45542753980162,DE,TENNETGMBH,133342285.0,Polygon,Zolling,DE,220000;110000,,,
Schuby/W,9.434207007778948,54.52202374132917,DE,TENNETGMBH,907539360.0,Polygon,Schuby/West,DE,380000,,,
Kruemmel,10.416762576558275,53.41165486783699,DE,TENNETGMBH,1089911132.0,Polygon,Umspannwerk Krümmel (TenneT),DE,380000,TenneT TSO GmbH,,
Ganderkesee,8.563991876746712,53.03191782773866,DE,TENNETGMBH,24493551.0,Polygon,Ganderkesee,DE,380000;110000,TenneT;EON_Netz;EWE,,
Y-Erzhausen,9.8524163,51.8987653,DE,TENNETGMBH,309902667.0,Point,,DE,380000,,,Y-junction at 5.2 km from the station
Kiel/W,10.060407125717596,54.348768107477845,DE,TENNETGMBH,27646106.0,Polygon,Kiel West,DE,220000;110000,TenneT,,
Redwitz,11.193166069042096,50.16207719806,DE,TENNETGMBH,24757392.0,Polygon,Umspannwerk Redwitz,DE,380000,TenneT TSO,,
Simbach,13.002766136405308,48.2619991181636,DE,TENNETGMBH,91086220.0,Polygon,Umspannwerk Simbach,DE,220000;110000,TenneT TSO GmbH;Bayernwerk Netz GmbH,,
Y-Voerden,9.2319021,51.8101933,DE,TENNETGMBH,533737514.0,Point,,DE,380000,,,Y-junction at 0.26 km from the station
Irsching,11.58137197036536,48.764893853875456,DE,TENNETGMBH,137602559.0,Polygon,Umspannwerk Irsching,DE,380000;220000;110000,,,
Goetzdorf,9.48789511096317,53.63655778443065,DE,TENNETGMBH,151765495.0,Polygon,Götzdorf,DE,220000,,,
Wahle,10.365338662586126,52.28466156568135,DE,TENNETGMBH,24262656.0,Polygon,Wahle 380 kV,DE,380000,TenneT TSO GmbH,,Multiple matches
Ottenhofen,11.868156362309213,48.20680293980998,DE,TENNETGMBH,26245195.0,Polygon,Umspannwerk Ottenhofen,DE,380000;220000,TenneT TSO GmbH,,
Trennfeld,9.59430167872856,49.79844273337367,DE,TENNETGMBH,24765111.0,Polygon,Umspannwerk Trennfeld,DE,220000;110000,TenneT TSO GmbH;E.ON Netz GmbH,,
Hallendorf,10.369230156474591,52.167092450140544,DE,TENNETGMBH,28227099.0,Polygon,Hallendorf,DE,220000;110000,TenneT;Avacon Netz GmbH,,
Herrenwyk,10.802358019135404,53.89754740235384,DE,TENNETGMBH,74893659.0,Polygon,Umspannwerk Herrenwyk,DE,380000;110000,TenneT TSO GmbH,,
Y-Frankfurt/SW,8.590814,50.1373726,DE,TENNETGMBH,249797355.0,Point,,DE,380000,,,Y-junction at 5.64 km from the station
Stadorf,10.381544370051303,52.99337410403172,DE,TENNETGMBH,28343121.0,Polygon,Stadorf,DE,380000,TenneT,,
Blockland,8.820024908006117,53.107388323427934,DE,TENNETGMBH,229565743.0,Polygon,Blockland,DE,220000;110000,Wesernetz Bremen GmbH,,Duplicated OSM name: 229565743 229565743 
Audorf/S,9.725994440003705,54.28781293047057,DE,TENNETGMBH,35176751.0,Polygon,Audorf Süd,DE,380000;110000,TenneT TSO GmbH,,
Isar,12.296883821275612,48.606909945677245,DE,TENNETGMBH,77697810.0,Polygon,Isar,DE,380000,,,
Mecklar,9.7459261338554,50.917625716657625,DE,TENNETGMBH,29309786.0,Polygon,Umspannwerk Mecklar,DE,380000,TenneT TSO GmbH,,
Inhausen,8.060057023046296,53.62020262000416,DE,TENNETGMBH,29420322.0,Polygon,Inhausen,DE,220000;155000,TenneT,,
Kiel/S,10.156282508555888,54.27554827587555,DE,TENNETGMBH,27124619.0,Polygon,Kiel-Süd,DE,220000;110000,TenneT;Schleswig-Holstein Netz,,
Voerden,9.228111325885813,51.81245400359651,DE,TENNETGMBH,42681484.0,Polygon,Vörden,DE,380000;110000,TenneT TSO GmbH;Westfalen Weser Netz,,
Pleinting,13.103168324093216,48.66682263363445,DE,TENNETGMBH,24976300.0,Polygon,Umspannwerk Pleinting,DE,380000;220000;110000,"TenneT TSO GmbH, E.ON Netz GmbH",,
Wuergau,11.106891294113014,49.97885035681856,DE,TENNETGMBH,24757393.0,Polygon,Umspannwerk Würgau,DE,380000,TenneT TSO,,
GKN2,9.177311160411106,49.0393782259322,DE,TRANSNETBW,153328698.0,Polygon,Gemeinschaftskraftwerk Neckarwestheim 2 (GKN2),DE,380000,,,
Buers,9.81074666568887,47.14278088986921,DE,TRANSNETBW,101997887.0,Polygon,Umspannwerk Bürs,AT,380000;220000,Vorarlberger Illwerke AG,,"Manually corrected. In AT, but also in DE"
Y-Hueffenhardt,8.6700993,49.3092023,DE,TRANSNETBW,1654012132.0,Point,,DE,380000,,,Y-junction at 31.8 km from the station
RDK7,8.304462316862503,49.01154422726613,DE,TRANSNETBW,272646943.0,Polygon,RDK7,DE,380000,EnBW AG,,
Grossgartach,9.151574900762482,49.14362211775794,DE,TRANSNETBW,25557397.0,Polygon,Umspannwerk Großgartach,DE,380000;220000;110000,TransnetBW GmbH,,
Heidelberg,8.66378519624062,49.36008426110293,DE,TRANSNETBW,156676050.0,Polygon,Heidelberg-Süd,DE,220000;110000,Stadtwerke Heidelberg Netze GmbH,,
GKMB,8.501808581399171,49.44491154692294,DE,TRANSNETBW,163093653.0,Polygon,GKMB,DE,220000;110000,,,
Neurott,8.623206227427875,49.35658185285741,DE,TRANSNETBW,207248812.0,Polygon,Neurott,DE,380000;220000,Transnet BW GmbH,,
Oberwald,8.445537986650066,48.98608927285571,DE,TRANSNETBW,32725957.0,Polygon,Umspannwerk Oberwald,DE,220000;110000,TransnetBW GmbH;Netze BW GmbH,,
Altlussheim,8.511568709329675,49.29351704676085,DE,TRANSNETBW,409305507.0,Polygon,Umspannwerk Altlußheim,DE,220000,TransnetBW GmbH,,
Birkenfeld,8.641605949770545,48.89010574677638,DE,TRANSNETBW,32966636.0,Polygon,220 kV-Umspannwerk Birkenfeld,DE,220000;110000,EnBW,,
Y-Dellmensingen,10.2316855967,48.529852103,DE,TRANSNETBW,31105067.0,Polygon,Umspannwerk Niederstotzingen,DE,380000;110000,,,Y-junction at 40.7 km from the station
Altbach,9.370919280255984,48.71912800634389,DE,TRANSNETBW,37721677.0,Polygon,Umspannwerk Altbach 1,DE,380000;110000,Netze BW GmbH,,
Rotensohl,10.222435812059285,48.736721998468965,DE,TRANSNETBW,38325076.0,Polygon,Umspannwerk Rotensohl,DE,380000;110000,EnBW,UW Rotensohl,
Villingen,8.465429838607776,48.043523650861054,DE,TRANSNETBW,42049947.0,Polygon,Umspannwerk Villingen,DE,380000;110000,EnBW; Energiedienst,,
Gruenkraut,9.645341069106252,47.74459749311021,DE,TRANSNETBW,31131325.0,Polygon,380kV-Umspannwerk Grünkraut,DE,380000;110000,,,
Karlsruhe,8.451616367168567,49.00739652557897,DE,TRANSNETBW,32725958.0,Polygon,Umspannwerk Karlsruhe Ost,DE,220000;110000,TransnetBW GmbH,Umspannwerk Karlsruhe-Rintheim,"Manually corrected. Name is misleading. Identified with ""Karlsruhe Ost"" according to the name of the line and distance (in the map it is missing somehow)"
